User_Message,Response,Intent
When and how do I apply?,Apply online via TAR UMT portal.,apply_online_portal
What documents are required?,MyKad transcripts certificates.,submit_documents_mykad_transcript
Can I apply before final results?,Yes using trial results.,use_trial_results_application
Is there an application fee?,May apply depending on programme.,conditional_payment_programme
How to check application status?,Login to portal to track.,track_application_portal
Can I apply multiple programmes?,Yes subject to availability.,application_availability
Processing time?,Depends on completeness.,application_processing_time
Is interview required?,Only for selected programmes.,programme_specific_requirements
Is portfolio required?,Yes for design programmes.,design_programme_requirement
What after receiving offer?,Accept and pay fees.,accept_offer_and_pay
Can I change programme?,Yes with approval.,application_with_approval
Can I defer intake?,Yes subject to approval.,admission_subject_to_approval
Are international students allowed?,Yes.,international_application
What if I don’t meet requirements?,Alternative pathway may be offered.,alternative_entry_pathway
Intake months?,Jan May Jun Sep Nov.,intake_schedule
How will I receive offer?,Via portal/email.,admission_notification_method
Do I need certified documents?,Yes for verification.,document_verification_required
Can I edit application after submit?,Limited changes allowed.,limited_application_changes
What is conditional offer?,Offer pending final results.,offer_pending_final_results
How to accept offer?,Pay fees and confirm online.,confirm_offer_payment
What payment methods available?,Online banking FPX etc.,online_payment_methods
Is hostel available?,Yes apply separately.,separate_hostel_application
Can I apply for scholarship?,Yes if eligible.,financial_aid_eligibility
When to apply for hostel?,After offer acceptance.,hostel_after_acceptance
What is student ID?,Unique ID after registration.,student_id_assignment
How to access student email?,Via portal after enrolment.,portal_access_after_enrolment
What is orientation?,Intro session for new students.,orientation_session_info
Can I withdraw application?,Yes before enrolment.,apply_before_enrolment
What happens if I miss deadline?,Apply for next intake.,reapply_next_intake
Is English test required?,For some programmes.,programme_specific_requirements_general
Can I apply using forecast results?,Yes forecast results are accepted temporarily.,forecast_results_acceptance
Do I need to submit original documents?,Yes during registration for verification.,document_submission_registration
What happens if I submit wrong documents?,Application may be rejected or delayed.,incomplete_documents_consequence
Is there a deadline for each intake?,Yes each intake has a specific closing date.,application_closing_date
Can I reapply if rejected?,Yes you may reapply for next intake.,reapplication_allowed
Is there age limit?,No strict age limit for most programmes.,no_age_limit_entry
Do I need passport for application?,Only for international students.,international_document_requirement
Can I upload documents later?,Some documents can be submitted later.,late_document_submission
What file format is accepted?,PDF or image formats accepted.,document_format_requirement
Is there minimum CGPA requirement?,Yes depends on programme.,programme_entry_requirement
